#,Name,Symbol,MarketCap,Price,CirculatingSupply,Volume24h,%1h,%24h,%7d
193,INK  Ink,INK,115122763.0,0.64585,178250000.0,88242800.0,3.54,3.61,19.05
194,CFI  Cofound.it,CFI,115070800.0,0.354064,325000000.0,4607750.0,1.7,0.02,43.88
195,SHIFT  Shift,SHIFT,114752920.0,9.9,11588500.0,1598530.0,-0.16,11.75,-2.01
196,ADT  adToken,ADT,114138600.0,0.19023099999999998,600000000.0,6651650.0,0.18,-3.46,175.78
197,PRE  Presearch,PRE,111500645.0,0.719359,155000000.0,170577.0,1.19,13.85,217.96
198,XSPEC  Spectrecoin,XSPEC,111440817.0,5.36,20785264.0,987552.0,0.74,6.75,102.07
199,MTH  Monetha,MTH,111053685.0,0.511853,216964020.0,9559290.0,-2.71,6.93,101.6
200,FTC  Feathercoin,FTC,110487077.0,0.589119,187546280.0,2384980.0,-1.57,0.45,62.37
201,SLS  SaluS,SLS,108408984.0,107.36,1009799.0,1204430.0,-0.73,1.92,45.33
202,HST  Decision Token,HST,107284750.0,3.43,31249199.0,1184740.0,-0.14,44.11,222.53
203,GTO  Gifto,GTO,106987041.0,0.677728,157861327.0,21001600.0,-0.72,6.03,147.42
204,VIB  Viberate,VIB,105617245.0,0.6507539999999999,162299801.0,16292200.0,-1.35,9.67,63.68
205,FLASH  Flash,FLASH,105264900.0,0.116961,900000000.0,1669270.0,2.47,40.35,227.07
206,NLG  Gulden,NLG,105008073.0,0.269336,389877600.0,989354.0,-0.45,0.79,10.29
207,DPY  Delphy,DPY,104922105.0,3.59,29250004.0,403690.0,2.61,-2.33,25.87
208,DLT  Agrello,DLT,100320149.0,1.17,85978873.0,11116700.0,-1.18,2.63,174.96
209,UNITY  SuperNET,UNITY,99406812.0,121.81,816061.0,2721.0,-2.17,3.13,-20.25
210,GRID  Grid+,GRID,98894791.0,2.52,39236491.0,393316.0,7.82,5.72,149.84
211,TKN  TokenCard,TKN,98073416.0,4.15,23644056.0,442046.0,1.68,35.1,227.05
212,GUP  Matchpool,GUP,95946000.0,1.28,75000000.0,10064700.0,0.45,-0.56,62.91
213,MER  Mercury,MER,94402200.0,0.9440219999999999,100000000.0,1873910.0,4.13,7.79,48.01
214,EVX  Everex,EVX,92108445.0,5.58,16500000.0,24764700.0,0.98,12.91,198.45
215,NLC2  NoLimitCoin,NLC2,90876622.0,0.44326499999999996,205016462.0,493256.0,0.85,9.28,115.42
216,TRST  WeTrust,TRST,90397158.0,0.9810049999999999,92147500.0,2440330.0,-3.43,15.29,36.25
217,DAT  Datum,DAT,89775609.0,0.11874200000000001,756056065.0,8707070.0,0.92,6.96,172.67
218,COLX  ColossusCoinXT,COLX,89540244.0,0.022234999999999998,4027031669.0,972213.0,1.15,60.13,164.67
219,POT  PotCoin,POT,88565102.0,0.40416399999999997,219131595.0,4524630.0,-0.49,4.28,-10.32
220,SLR  SolarCoin,SLR,87153580.0,2.27,38463797.0,13461900.0,5.34,192.45,243.03
221,HMQ  Humaniq,HMQ,86911810.0,0.53365,162862944.0,4243690.0,6.48,5.29,13.48
222,BLK  BlackCoin,BLK,86772880.0,1.13,76592915.0,34171300.0,3.08,21.07,41.09
223,VIBE  VIBE,VIBE,86730677.0,0.500733,173207432.0,201652.0,0.24,14.58,193.59
224,PASC  Pascal Coin,PASC,85403095.0,5.11,16723800.0,2095640.0,0.39,26.79,85.7
225,PEPECASH  Pepe Cash,PEPECASH,85255043.0,0.121466,701884009.0,3330740.0,2.65,8.02,51.76
226,ZSC  Zeusshield,ZSC,85103541.0,0.0738,1153170765.0,10100500.0,-2.27,-3.94,126.42
227,SNOV  Snovio,SNOV,83698655.0,0.20666199999999998,405002639.0,7189850.0,1.75,31.82,687.28
228,TIX  Blocktix,TIX,83525200.0,2.09,40000000.0,2306370.0,1.0,0.97,96.53
229,RVT  Rivetz,RVT,83462920.0,3.18,26244468.0,815144.0,6.88,15.58,186.18
230,PURA  Pura,PURA,83200585.0,0.48273,172354286.0,323260.0,-1.36,-0.41,15.26
231,AMP  Synereo,AMP,83188288.0,1.01,82256324.0,4473640.0,-2.4,0.05,50.46
232,BCPT  BlockMason Cr...,BCPT,83167686.0,1.84,45166200.0,76338300.0,3.62,0.84,360.5
233,COSS  COSS,COSS,82361682.0,1.33,62008133.0,6981670.0,2.93,94.18,433.75
234,BITB  BitBean,BITB,81785983.0,0.035524,2302287000.0,15552600.0,3.49,22.53,175.16
235,IOC  I/O Coin,IOC,81265290.0,4.94,16457193.0,672714.0,4.28,7.6,57.77
236,WRC  Worldcore,WRC,81222872.0,0.463841,175109299.0,1709310.0,-3.45,72.36,270.06
237,NET  Nimiq,NET,81051495.0,7.72,10500000.0,923088.0,-1.09,36.73,91.56
238,BITCNY  bitCNY,BITCNY,80831209.0,0.137042,589828000.0,57939500.0,-0.49,0.52,0.54
239,BOT  Bodhi,BOT,79007200.0,1.98,40000000.0,47655200.0,34.51,53.48,88.53
240,MDA  Moeda Loyalty...,MDA,76080196.0,3.88,19628888.0,6738680.0,-2.68,-2.56,86.38
241,NMC  Namecoin,NMC,75883618.0,5.15,14736400.0,1176940.0,-0.51,4.85,33.5
242,MNX  MinexCoin,MNX,75685800.0,25.23,3000000.0,170601.0,0.93,0.23,41.64
243,LRC  Loopring,LRC,75340494.0,1.21,62366926.0,37806500.0,-1.3,0.82,186.72
244,XMY  Myriad,XMY,75142936.0,0.048713,1542567500.0,15941600.0,1.36,27.84,186.77
245,DIME  Dimecoin,DIME,74654656.0,0.000138,539096740560.0,1644670.0,1.01,95.72,440.23
246,SIB  SIBCoin,SIB,72954367.0,4.52,16134635.0,529480.0,0.09,5.37,8.69
247,PRO  Propy,PRO,72153920.0,4.33,16677704.0,2063020.0,-0.25,-17.73,141.63
248,TAAS  TaaS,TAAS,72141553.0,8.86,8146001.0,1177770.0,-0.23,11.49,58.58
249,XEL  Elastic,XEL,71475464.0,0.808952,88355631.0,1507520.0,-0.75,3.2,34.46
250,IXT  iXledger,IXT,71326914.0,1.99,35778844.0,1042940.0,-2.65,-2.74,286.93
251,GRC  GridCoin,GRC,70820688.0,0.181446,390312753.0,1675740.0,1.34,1.79,44.23
252,DMD  Diamond,DMD,70817040.0,27.32,2591885.0,324938.0,-1.76,1.31,50.95
253,ARN  Aeron,ARN,69959890.0,5.38,13000000.0,71970500.0,5.85,-21.53,595.69
254,PAYX  Paypex,PAYX,69671278.0,1.02,68380258.0,5339.0,-0.03,-22.81,64.49
255,OMNI  Omni,OMNI,69130907.0,123.36,560404.0,3482250.0,2.27,29.43,19.8
256,EXP  Expanse,EXP,68601194.0,8.68,7906397.0,10981400.0,-3.32,21.1,69.28
257,JINN  Jinn,JINN,68272763.0,1163.02,58703.0,81411.0,-2.17,-7.29,-27.88
258,LMC  LoMoCoin,LMC,68243067.0,0.30550900000000003,223374979.0,4024420.0,-2.1,-12.31,128.27
259,CRW  Crown,CRW,67918415.0,4.07,16671187.0,249308.0,0.64,6.98,50.34
260,OAX  OAX,OAX,67403679.0,2.7,25009250.0,14469800.0,-1.48,21.77,166.28
261,BNTY  Bounty0x,BNTY,67333250.0,0.576338,116829448.0,6738640.0,-15.28,78.56,247.45
262,PPY  Peerplays,PPY,66579247.0,16.88,3944712.0,6167.0,-18.95,3.74,43.91
263,FAIR  FairCoin,FAIR,65942797.0,1.24,53193831.0,279096.0,0.1,5.97,19.77
264,NEU  Neumark,NEU,63047636.0,2.2,28662055.0,1045890.0,-9.5,35.12,291.05
265,MSP  Mothership,MSP,62333320.0,0.445238,140000000.0,796083.0,4.3,11.26,67.3
